season,week,ATS bets,ATS wins,ATS win %,totals bets,totals wins,totals win %,combined bets,combined wins,combined win %
2023,7,2,1,50.0,13,11,84.6,15,12,80.0
2023,8,5,2,40.0,16,13,81.2,21,15,71.4
2023,9,5,2,40.0,14,9,64.3,19,11,57.9
2023,10,6,2,33.3,14,10,71.4,20,12,60.0
2023,11,9,6,66.7,14,8,57.1,23,14,60.9
2023,12,6,2,33.3,16,10,62.5,22,12,54.5
2023,13,5,1,20.0,13,9,69.2,18,10,55.6
2023,14,7,5,71.4,15,11,73.3,22,16,72.7
2023,15,4,3,75.0,16,9,56.2,20,12,60.0
2023,16,7,5,71.4,16,11,68.8,23,16,69.6
2023,17,3,2,66.7,16,14,87.5,19,16,84.2
2023,18,5,3,60.0,16,8,50.0,21,11,52.4
2023,19,1,1,100.0,6,6,100.0,7,7,100.0
2023,20,2,1,50.0,4,3,75.0,6,4,66.7
2023,21,0,0,0.0,2,1,50.0,2,1,50.0
2023,22,0,0,0.0,1,0,0.0,1,0,0.0
2024,1,6,5,83.3,16,14,87.5,22,19,86.4
2024,2,8,3,37.5,16,11,68.8,24,14,58.3
2024,3,3,2,66.7,16,10,62.5,19,12,63.2
2024,4,7,4,57.1,16,9,56.2,23,13,56.5
2024,5,6,4,66.7,14,12,85.7,20,16,80.0
2024,6,6,3,50.0,14,9,64.3,20,12,60.0
2024,7,6,4,66.7,15,12,80.0,21,16,76.2
2024,8,5,4,80.0,16,8,50.0,21,12,57.1
2024,9,6,1,16.7,15,12,80.0,21,13,61.9
2024,10,5,3,60.0,14,10,71.4,19,13,68.4
2024,11,5,4,80.0,14,7,50.0,19,11,57.9
2024,12,4,1,25.0,13,8,61.5,17,9,52.9
2024,13,4,1,25.0,16,11,68.8,20,12,60.0
2024,14,9,5,55.6,13,7,53.8,22,12,54.5
2024,15,6,3,50.0,16,11,68.8,22,14,63.6
2024,16,2,1,50.0,16,15,93.8,18,16,88.9
2024,17,3,3,100.0,16,14,87.5,19,17,89.5
2024,18,3,2,66.7,16,10,62.5,19,12,63.2
2024,19,2,1,50.0,6,4,66.7,8,5,62.5
2024,20,1,1,100.0,4,2,50.0,5,3,60.0
2024,21,1,0,0.0,2,1,50.0,3,1,33.3
2024,22,1,1,100.0,1,1,100.0,2,2,100.0
