season,week,away_team,home_team,away_score,home_score,spread_line,model_spread,model_pick,expected_value,total_line,predicted_total,over_under,ats_result,total_result
2023,2,NYJ,DAL,10,30,8.5,DAL -7.5,NYJ +8.5,0.49%,38.5,41.17,Over,loss,win
2023,2,SEA,DET,37,31,4.5,DET -3.5,SEA +4.5,0.68%,47.5,51.15,Over,win,win
2023,2,SF,LA,30,23,-7.5,SF -5.5,LA +7.5,6.12%,45.0,45.13,Over,win,win
2023,2,WAS,DEN,35,33,4.0,DEN -4.5,DEN -4.0,-2.68%,38.5,59.02,Over,loss,win
2023,3,ATL,DET,6,20,3.0,DET -2.5,ATL +3.0,-1.28%,47.5,42.67,Under,loss,win
2023,3,BUF,WAS,37,3,-5.5,BUF -5.5,WAS +5.5,-3.60%,44.0,50.58,Over,loss,loss
2023,3,CAR,SEA,27,37,5.0,SEA -5.0,SEA -5.0,-4.25%,42.5,49.58,Over,win,win
2023,3,CHI,KC,10,41,13.0,KC -12.5,CHI +13.0,-0.57%,48.0,43.2,Under,loss,loss
2023,3,DAL,ARI,16,28,-11.5,DAL -11.0,ARI +11.5,-1.13%,43.5,51.9,Over,win,win
2023,3,DEN,MIA,20,70,6.0,MIA -5.5,DEN +6.0,-0.90%,47.5,66.03,Over,loss,win
2023,3,HOU,JAX,37,17,7.5,JAX -7.0,HOU +7.5,-3.03%,43.5,42.67,Under,win,loss
2023,3,IND,BAL,22,19,7.5,BAL -8.0,BAL -7.5,-0.20%,43.5,50.14,Over,loss,loss
2023,3,LAC,MIN,28,24,1.0,MIN -1.0,LAC +1.0,-3.76%,54.0,51.15,Under,win,win
2023,3,LA,CIN,16,19,3.0,CIN -3.5,CIN -3.0,-3.01%,45.5,36.73,Under,push,win
2023,3,NE,NYJ,15,10,-2.5,NE -1.0,NYJ +2.5,3.29%,35.5,36.26,Over,loss,loss
2023,3,NO,GB,17,18,-1.5,NO -1.0,GB +1.5,-0.40%,41.5,43.14,Over,win,loss
2023,3,NYG,SF,12,30,10.5,SF -11.0,SF -10.5,-2.07%,43.5,43.69,Over,win,loss
2023,3,PHI,TB,25,11,-6.0,PHI -6.0,PHI -6.0,-3.74%,44.0,48.33,Over,win,loss
2023,3,PIT,LV,23,18,3.0,LV -1.0,PIT +3.0,6.24%,43.5,35.4,Under,win,win
2023,3,TEN,CLE,3,27,3.5,CLE -4.0,CLE -3.5,-2.51%,38.0,40.35,Over,win,loss
